order_id,strategy_id,account_id,symbol,side,type,qty,price,status,filled_qty,remaining_qty,avg_fill_price,created_at,updated_at,broker_order_id,reject_reason
O-1,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,LIMIT,13700.0,5.835,FILLED,13700.0,0.0,5.835,2020-04-23T09:31:00+08:00,2020-04-23T15:00:00+08:00,,
O-2,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,LIMIT,13700.0,5.782,FILLED,13700.0,0.0,5.782,2020-04-24T09:31:00+08:00,2020-04-24T15:00:00+08:00,,
O-3,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,LIMIT,20300.0,3.865,FILLED,20300.0,0.0,3.865,2020-05-06T09:31:00+08:00,2020-05-06T15:00:00+08:00,,
O-4,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,LIMIT,20300.0,3.901,FILLED,20300.0,0.0,3.901,2020-05-18T09:31:00+08:00,2020-05-18T15:00:00+08:00,,
O-5,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,LIMIT,13300.0,5.996,FILLED,13300.0,0.0,5.996,2020-05-20T09:31:00+08:00,2020-05-20T15:00:00+08:00,,
O-6,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,LIMIT,13300.0,5.782,FILLED,13300.0,0.0,5.782,2020-05-25T09:31:00+08:00,2020-05-25T15:00:00+08:00,,
O-7,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,LIMIT,13200.0,5.874,FILLED,13200.0,0.0,5.874,2020-05-27T09:31:00+08:00,2020-05-27T15:00:00+08:00,,
O-8,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,LIMIT,13200.0,6.422,FILLED,13200.0,0.0,6.422,2020-07-02T09:31:00+08:00,2020-07-02T15:00:00+08:00,,
O-9,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,LIMIT,18700.0,4.527,FILLED,18700.0,0.0,4.527,2020-07-06T09:31:00+08:00,2020-07-06T15:00:00+08:00,,
O-10,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,LIMIT,18700.0,4.71,FILLED,18700.0,0.0,4.71,2020-07-31T09:31:00+08:00,2020-07-31T15:00:00+08:00,,
O-11,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,LIMIT,11600.0,7.401,FILLED,11600.0,0.0,7.401,2020-08-04T09:31:00+08:00,2020-08-04T15:00:00+08:00,,
O-12,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,LIMIT,11600.0,7.387,FILLED,11600.0,0.0,7.387,2020-08-31T09:31:00+08:00,2020-08-31T15:00:00+08:00,,
O-13,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,LIMIT,17500.0,4.919,FILLED,17500.0,0.0,4.919,2020-09-02T09:31:00+08:00,2020-09-02T15:00:00+08:00,,
O-14,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,LIMIT,17500.0,4.684,FILLED,17500.0,0.0,4.684,2020-09-10T09:31:00+08:00,2020-09-10T15:00:00+08:00,,
O-15,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,LIMIT,17600.0,4.707,FILLED,17600.0,0.0,4.707,2020-09-14T09:31:00+08:00,2020-09-14T15:00:00+08:00,,
O-16,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,LIMIT,17600.0,4.695,FILLED,17600.0,0.0,4.695,2020-09-18T09:31:00+08:00,2020-09-18T15:00:00+08:00,,
O-17,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,LIMIT,17100.0,4.815,FILLED,17100.0,0.0,4.815,2020-09-21T09:31:00+08:00,2020-09-21T15:00:00+08:00,,
O-18,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,LIMIT,17100.0,4.703,FILLED,17100.0,0.0,4.703,2020-09-23T09:31:00+08:00,2020-09-23T15:00:00+08:00,,
O-19,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,LIMIT,16500.0,4.888,FILLED,16500.0,0.0,4.888,2020-10-13T09:31:00+08:00,2020-10-13T15:00:00+08:00,,
O-20,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,LIMIT,16500.0,4.737,FILLED,16500.0,0.0,4.737,2020-10-27T09:31:00+08:00,2020-10-27T15:00:00+08:00,,
O-21,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,LIMIT,16400.0,4.759,FILLED,16400.0,0.0,4.759,2020-10-29T09:31:00+08:00,2020-10-29T15:00:00+08:00,,
